movieid,genreid,genrename
501,99,Documentary
502,18,Drama
502,53,Thriller
502,10752,War
503,12,Adventure
503,28,Action
503,18,Drama
503,53,Thriller
504,80,Crime
504,18,Drama
505,80,Crime
505,18,Drama
506,80,Crime
506,18,Drama
506,9648,Mystery
506,10749,Romance
506,53,Thriller
507,28,Action
507,80,Crime
507,18,Drama
507,53,Thriller
508,35,Comedy
508,10749,Romance
508,18,Drama
509,10749,Romance
509,35,Comedy
509,18,Drama
510,18,Drama
511,18,Drama
512,35,Comedy
512,9648,Mystery
513,18,Drama
513,10749,Romance
521,80,Crime
521,53,Thriller
522,35,Comedy
522,18,Drama
522,36,History
523,18,Drama
523,27,Horror
524,80,Crime
524,18,Drama
525,10402,Music
525,35,Comedy
525,28,Action
525,80,Crime
526,12,Adventure
526,35,Comedy
526,18,Drama
526,14,Fantasy
527,18,Drama
530,16,Animation
530,35,Comedy
530,10751,Family
531,16,Animation
531,35,Comedy
531,10751,Family
532,10751,Family
532,16,Animation
532,35,Comedy
533,12,Adventure
533,16,Animation
533,35,Comedy
533,10751,Family
534,28,Action
534,878,Science Fiction
534,53,Thriller
535,18,Drama
535,10749,Romance
536,99,Documentary
537,10749,Romance
537,18,Drama
539,27,Horror
539,18,Drama
539,53,Thriller
540,28,Action
540,35,Comedy
540,10749,Romance
541,18,Drama
542,18,Drama
542,10749,Romance
543,18,Drama
543,53,Thriller
544,10749,Romance
544,35,Comedy
546,18,Drama
547,18,Drama
547,10749,Romance
548,80,Crime
548,18,Drama
548,9648,Mystery
549,18,Drama
549,36,History
550,18,Drama
551,28,Action
551,12,Adventure
551,53,Thriller
552,35,Comedy
552,10749,Romance
553,80,Crime
553,18,Drama
553,53,Thriller
554,18,Drama
554,36,History
554,10749,Romance
554,35,Comedy
555,53,Thriller
557,14,Fantasy
557,28,Action
558,28,Action
558,12,Adventure
558,14,Fantasy
559,14,Fantasy
559,28,Action
559,12,Adventure
560,80,Crime
560,9648,Mystery
560,53,Thriller
560,10749,Romance
561,14,Fantasy
561,28,Action
561,27,Horror
562,28,Action
562,53,Thriller
563,12,Adventure
563,28,Action
563,53,Thriller
563,878,Science Fiction
564,12,Adventure
564,28,Action
564,14,Fantasy
565,27,Horror
565,9648,Mystery
567,53,Thriller
567,9648,Mystery
568,36,History
568,18,Drama
568,12,Adventure
570,18,Drama
571,27,Horror
572,27,Horror
572,9648,Mystery
572,53,Thriller
573,80,Crime
573,53,Thriller
573,27,Horror
574,80,Crime
574,18,Drama
574,9648,Mystery
574,53,Thriller
575,18,Drama
575,53,Thriller
576,12,Adventure
576,37,Western
577,18,Drama
577,35,Comedy
577,80,Crime
578,27,Horror
578,53,Thriller
578,12,Adventure
579,27,Horror
579,53,Thriller
580,12,Adventure
580,53,Thriller
580,27,Horror
581,12,Adventure
581,18,Drama
581,37,Western
582,18,Drama
582,53,Thriller
583,35,Comedy
584,28,Action
584,80,Crime
584,53,Thriller
585,16,Animation
585,35,Comedy
585,10751,Family
586,35,Comedy
586,18,Drama
587,12,Adventure
587,14,Fantasy
587,18,Drama
588,27,Horror
588,9648,Mystery
590,18,Drama
591,53,Thriller
591,9648,Mystery
592,80,Crime
592,18,Drama
592,9648,Mystery
593,18,Drama
593,878,Science Fiction
593,9648,Mystery
594,35,Comedy
594,18,Drama
595,80,Crime
595,18,Drama
596,18,Drama
597,18,Drama
597,10749,Romance
598,18,Drama
598,80,Crime
599,18,Drama
600,18,Drama
600,10752,War
