movieid,castid,name,originalname,character,isadult,gender,popularity,knownfordepartment
501,6819,Timothy Treadwell,Timothy Treadwell,Himself (archive footage),false,Male,0.6,Acting
501,6820,Kathleen Parker,Kathleen Parker,Herself,false,Not set/not specified,1.049,Acting
501,6821,Warren Queeney,Warren Queeney,Himself,false,Not set/not specified,0.6,Acting
501,6822,Willy Fulton,Willy Fulton,Himself,false,Not set/not specified,0.613,Acting
501,6823,Sam Egli,Sam Egli,Himself,false,Not set/not specified,0.6,Acting
501,6818,Werner Herzog,Werner Herzog,Himself,false,Male,2.936,Directing
501,136487,David Letterman,David Letterman,Himself,false,Male,2.136,Acting
501,1687263,Jewel Palovak,Jewel Palovak,Himself,false,Not set/not specified,1.09,Acting
502,4958,Henry Fonda,Henry Fonda,The President,false,Male,24.018,Acting
502,6837,Walter Matthau,Walter Matthau,Prof. Groeteschele,false,Male,20.699,Acting
502,6839,Fritz Weaver,Fritz Weaver,Col. Cascio,false,Male,2.698,Acting
502,6840,Larry Hagman,Larry Hagman,Buck,false,Male,8.581,Acting
502,6838,Frank Overton,Frank Overton,Gen. Bogan,false,Male,2.744,Acting
502,2651,Edward Binns,Edward Binns,Col. Jack Grady,false,Male,4.801,Acting
502,6836,Dan O\'Herlihy,Dan O\'Herlihy,Brig. Gen. Warren A. Black,false,Male,11.375,Acting
502,6841,William Hansen,William Hansen,Defense Secretary Swenson,false,Male,0.662,Acting
502,6842,Russell Hardie,Russell Hardie,Gen. Stark,false,Male,0.84,Acting
502,6843,Janet Ward,Janet Ward,Helen Grady,false,Female,1.985,Acting
502,6844,Dom DeLuise,Dom DeLuise,TSgt. Collins,false,Male,20.033,Acting
502,40203,Russell Collins,Russell Collins,Knapp,false,Male,1.336,Acting
502,40191,Sorrell Booke,Sorrell Booke,Congressman Raskob,false,Male,4.71,Acting
502,129672,Nancy Berg,Nancy Berg,Ilsa Wolfe,false,Female,0.6,Acting
502,118185,John Connell,John Connell,Thomas,false,Male,0.6,Acting
502,81523,Frank Simpson,Frank Simpson,Sullivan,false,Male,0.6,Acting
502,129669,Hildy Parks,Hildy Parks,Betty Black,false,Female,2.274,Acting
502,37712,Dana Elcar,Dana Elcar,Foster,false,Male,15.118,Acting
502,1420922,Louise Larabee,Louise Larabee,Mrs. Cascio,false,Female,0.6,Acting
502,1693230,Stewart Germain,Stewart Germain,Mr. Cascio,false,Male,0.6,Acting
502,557445,Geri Miller,Geri Miller,Go-go Dancer (uncredited),false,Female,2.188,Acting
502,4974,Charles Tyner,Charles Tyner,Jet Fighter Pilot (voice) (uncredited),false,Male,7.825,Acting
503,6856,Kurt Russell,Kurt Russell,Robert Ramsey,false,Male,27.413,Acting
503,3037,Richard Dreyfuss,Richard Dreyfuss,Richard Nelson,false,Male,14.713,Acting
503,6164,Josh Lucas,Josh Lucas,Dylan Johns,false,Male,14.417,Acting
503,6857,Jacinda Barrett,Jacinda Barrett,Maggie James,false,Female,32.544,Acting
503,4730,Emmy Rossum,Emmy Rossum,Jennifer Ramsey,false,Female,30.047,Acting
503,6858,Mike Vogel,Mike Vogel,Christian,false,Male,15.972,Acting
503,6859,Mía Maestro,Mía Maestro,Elena,false,Female,14.535,Acting
503,6860,Jimmy Bennett,Jimmy Bennett,Conor James,false,Male,13.855,Acting
503,6861,Andre Braugher,Andre Braugher,Captain Bradford,false,Male,13.868,Acting
503,6862,Freddy Rodríguez,Freddy Rodríguez,Valentin,false,Male,12.213,Acting
503,6863,Kevin Dillon,Kevin Dillon,Lucky Larry,false,Male,23.744,Acting
503,6864,Kirk B.R. Woller,Kirk B.R. Woller,Chief Officer Reynolds,false,Male,4.366,Acting
503,20497,Fergie,Fergie,Gloria,false,Female,3.325,Acting
503,92808,Gabriel Jarret,Gabriel Jarret,1st Officer Chapman,false,Male,5.326,Acting
503,1495441,Adam Jones,Adam Jones,Bearded Businessman (uncredited),false,Not set/not specified,0.6,Acting
503,1236068,Kelly McNair,Kelly McNair,Emily,false,Female,1.829,Acting
503,1213094,Caroline Lagerfelt,Caroline Lagerfelt,Mary,false,Female,4.918,Acting
503,211915,Jesse Henecke,Jesse Henecke,Security Officer,false,Male,1.62,Acting
503,1523430,Kimberly Patterson,Kimberly Patterson,Poker Dealer,false,Not set/not specified,0.98,Acting
503,2659449,Andy Deal,Andy Deal,Wine Steward,false,Not set/not specified,0.6,Acting
503,66636,Valerie Azlynn,Valerie Azlynn,Passenger #1,false,Female,9.308,Acting
503,583714,Jenae Altschwager,Jenae Altschwager,Crying Girl,false,Female,11.96,Acting
503,1777025,Aliane Baquerot,Aliane Baquerot,Ballroom Dancer,false,Female,1.4,Acting
503,1410644,Ali Chen,Ali Chen,Champagne Waitress,false,Female,1.098,Acting
503,2659451,Abra Chouinard,Abra Chouinard,Waitress,false,Not set/not specified,1.4,Acting
503,66635,Kate Clarke,Kate Clarke,Doctor Anderson,false,Female,0.6,Acting
503,2659457,Anna De Castro,Anna De Castro,Club Dancer,false,Not set/not specified,0.6,Acting
503,1215402,Menina Fortunato,Menina Fortunato,Ballroom Dancer,false,Female,1.25,Acting
503,2659463,Kyra Kiener,Kyra Kiener,Dying Woman,false,Not set/not specified,0.6,Acting
503,87286,Jennifer Sciole,Jennifer Sciole,Passenger #5,false,Female,1.176,Acting
503,1781355,Abbey Skinner,Abbey Skinner,Ballroom Dancer,false,Female,0.652,Acting
504,6885,Charlize Theron,Charlize Theron,Aileen Wuornos,false,Female,64.844,Acting
504,6886,Christina Ricci,Christina Ricci,Selby Wall,false,Female,32.307,Acting
504,6905,Bruce Dern,Bruce Dern,Thomas,false,Male,23.045,Acting
504,6906,Lee Tergesen,Lee Tergesen,Vincent Corey,false,Male,14.065,Acting
504,6907,Annie Corley,Annie Corley,Donna,false,Female,3.537,Acting
504,3201,Pruitt Taylor Vince,Pruitt Taylor Vince,Gene / Stuttering \'John\',false,Male,30.229,Acting
504,94182,Marco St. John,Marco St. John,Evan / Undercover \'John\',false,Male,6.161,Acting
504,6908,Marc Macaulay,Marc Macaulay,Will / Daddy \'John\',false,Male,3.597,Acting
504,6914,Scott Wilson,Scott Wilson,Horton / Last \'John\',false,Male,9.915,Acting
504,52483,Rus Blackwell,Rus Blackwell,Cop,false,Male,6.775,Acting
504,86938,Tim Ware,Tim Ware,Chuck,false,Male,4.435,Acting
504,6909,Stephan Jones,Stephan Jones,Lawyer,false,Not set/not specified,1.831,Acting
504,29934,Brett Rice,Brett Rice,Charles,false,Male,4.183,Acting
504,945235,Kaitlin Riley,Kaitlin Riley,Teenage Aileen,false,Female,3.98,Acting
504,66543,Cree Ivey,Cree Ivey,7-Year-Old Aileen,false,Female,1.4,Acting
504,95749,Catherine Mangan,Catherine Mangan,Justy,false,Female,0.6,Acting
504,1321560,Magdalena Manville,Magdalena Manville,Bar Lap Girl,false,Female,2.298,Acting
504,6910,T. Robert Pigott,T. Robert Pigott,Bartender,false,Not set/not specified,0.6,Acting
504,2056458,Romonda Shaver,Romonda Shaver,Employment Agent,false,Not set/not specified,1.38,Acting
504,61838,Glenn R. Wilder,Glenn R. Wilder,Restaurant Manager,false,Male,3.887,Crew
504,2056459,Elaine Stebbins,Elaine Stebbins,Wife at Accident,false,Not set/not specified,0.6,Acting
504,62596,Kane Hodder,Kane Hodder,Undercover Cop,false,Male,8.581,Acting
504,575674,Christian Stokes,Christian Stokes,Undercover Cop,false,Male,1.4,Acting
504,2056460,Lyllian Barcaski,Lyllian Barcaski,Bar Girl,false,Not set/not specified,0.6,Acting
504,2056461,Nonalee Davis,Nonalee Davis,Bar Girl,false,Not set/not specified,0.6,Acting
504,214541,Bubba Baker,Bubba Baker,Cubby,false,Not set/not specified,0.6,Acting
504,2056472,Al,Al,Himself,false,Not set/not specified,0.6,Acting
504,1308889,Cannonball,Cannonball,Himself,false,Not set/not specified,0.6,Acting
504,2056475,Chad Vaccarino,Chad Vaccarino,Trevor,false,Not set/not specified,0.6,Acting
504,2056476,Gene R. Stephenson,Gene R. Stephenson,Judge,false,Not set/not specified,0.6,Acting
504,2056477,Jesse Stern,Jesse Stern,Skate Rink Attendant,false,Not set/not specified,0.6,Acting
504,1966532,Billy Boylan,Billy Boylan,Police Chief,false,Not set/not specified,0.6,Acting
504,78885,Jim R. Coleman,Jim R. Coleman,Newscaster,false,Not set/not specified,3.846,Acting
