movieid,crewid,name,originalname,job,role,isadult,gender,popularity,department,knownfordepartment
501,6818,Werner Herzog,Werner Herzog,Screenplay,SCREENPLAY,false,Male,2.936,Writing,Directing
501,6818,Werner Herzog,Werner Herzog,Director,DIRECTOR,false,Male,2.936,Directing,Directing
501,6819,Timothy Treadwell,Timothy Treadwell,CameraOperator,CAMERAOPERATOR,false,Male,0.6,Camera,Acting
501,6824,Erik Nelson,Erik Nelson,Producer,PRODUCER,false,Male,0.6,Production,Directing
501,6825,Richard Thompson,Richard Thompson,OriginalMusicComposer,ORIGINALMUSICCOMPOSER,false,Male,0.996,Sound,Acting
501,6826,Peter Zeitlinger,Peter Zeitlinger,DirectorofPhotography,DIRECTOROFPHOTOGRAPHY,false,Male,1.22,Camera,Camera
501,6827,Joe Bini,Joe Bini,Editor,EDITOR,false,Male,0.98,Editing,Editing
501,6828,Ken King,Ken King,SoundDesigner,SOUNDDESIGNER,false,Not set/not specified,1.4,Sound,Sound
501,6829,Spencer Palermo,Spencer Palermo,SoundDesigner,SOUNDDESIGNER,false,Not set/not specified,0.6,Sound,Sound
501,88313,Sue Houghton,Sue Houghton,Thanks,THANKS,false,Not set/not specified,0.6,Crew,Writing
501,1084275,Kevin L. Beggs,Kevin L. Beggs,ExecutiveProducer,EXECUTIVEPRODUCER,false,Male,0.6,Production,Production
501,1498686,Maya Hawke,Maya Hawke,AssistantEditor,ASSISTANTEDITOR,false,Female,0.6,Editing,Editing
501,1621969,Randall M. Boyd,Randall M. Boyd,PostProductionSupervisor,POSTPRODUCTIONSUPERVISOR,false,Male,0.6,Crew,Editing
502,1222,Albert Brenner,Albert Brenner,ArtDirection,ARTDIRECTION,false,Male,1.4,Art,Art
502,39996,Sidney Lumet,Sidney Lumet,Director,DIRECTOR,false,Male,7.259,Directing,Directing
502,39996,Sidney Lumet,Sidney Lumet,ExecutiveProducer,EXECUTIVEPRODUCER,false,Male,7.259,Production,Directing
502,6833,Eugene Burdick,Eugene Burdick,Novel,NOVEL,false,Male,0.6,Writing,Writing
