movieid,genreid,genrename
601,878,Science Fiction
601,12,Adventure
601,10751,Family
601,14,Fantasy
602,28,Action
602,12,Adventure
602,878,Science Fiction
603,28,Action
603,878,Science Fiction
604,12,Adventure
604,28,Action
604,53,Thriller
604,878,Science Fiction
605,12,Adventure
605,28,Action
605,53,Thriller
605,878,Science Fiction
606,36,History
606,10749,Romance
606,18,Drama
607,28,Action
607,12,Adventure
607,35,Comedy
607,878,Science Fiction
608,28,Action
608,12,Adventure
608,35,Comedy
608,878,Science Fiction
609,27,Horror
612,18,Drama
612,28,Action
612,36,History
612,53,Thriller
613,18,Drama
613,36,History
613,10752,War
614,18,Drama
615,18,Drama
616,18,Drama
616,28,Action
616,10752,War
616,36,History
617,9648,Mystery
617,53,Thriller
617,18,Drama
618,18,Drama
618,36,History
618,10752,War
619,53,Thriller
619,28,Action
619,18,Drama
619,10402,Music
619,10749,Romance
620,35,Comedy
620,14,Fantasy
621,10749,Romance
621,35,Comedy
622,9648,Mystery
622,53,Thriller
622,27,Horror
623,35,Comedy
623,80,Crime
624,12,Adventure
624,18,Drama
625,18,Drama
625,36,History
625,10752,War
626,14,Fantasy
626,27,Horror
627,18,Drama
627,80,Crime
628,27,Horror
628,18,Drama
628,14,Fantasy
629,18,Drama
629,80,Crime
629,53,Thriller
630,12,Adventure
630,14,Fantasy
630,10751,Family
631,18,Drama
631,10749,Romance
632,10752,War
632,35,Comedy
632,53,Thriller
633,18,Drama
633,53,Thriller
633,10752,War
634,35,Comedy
634,10749,Romance
634,18,Drama
635,27,Horror
635,9648,Mystery
636,878,Science Fiction
636,28,Action
636,18,Drama
637,35,Comedy
637,18,Drama
638,18,Drama
638,53,Thriller
638,9648,Mystery
639,35,Comedy
639,10749,Romance
639,18,Drama
640,18,Drama
640,80,Crime
641,80,Crime
641,18,Drama
642,37,Western
642,18,Drama
642,80,Crime
643,18,Drama
643,36,History
644,18,Drama
644,878,Science Fiction
644,12,Adventure
646,12,Adventure
646,28,Action
646,53,Thriller
647,16,Animation
647,28,Action
647,12,Adventure
647,14,Fantasy
647,878,Science Fiction
648,18,Drama
648,14,Fantasy
648,10749,Romance
649,18,Drama
649,10749,Romance
650,80,Crime
650,18,Drama
651,35,Comedy
651,18,Drama
651,10752,War
652,12,Adventure
652,36,History
652,10752,War
652,28,Action
653,14,Fantasy
653,27,Horror
654,80,Crime
654,18,Drama
655,18,Drama
657,28,Action
657,53,Thriller
657,12,Adventure
658,12,Adventure
658,28,Action
658,53,Thriller
659,18,Drama
659,36,History
659,10752,War
660,12,Adventure
660,28,Action
660,53,Thriller
661,18,Drama
662,10749,Romance
662,878,Science Fiction
663,27,Horror
663,53,Thriller
663,80,Crime
664,28,Action
664,12,Adventure
664,18,Drama
665,28,Action
665,18,Drama
665,36,History
666,18,Drama
667,28,Action
667,53,Thriller
667,12,Adventure
668,12,Adventure
668,28,Action
668,53,Thriller
669,99,Documentary
670,18,Drama
670,53,Thriller
670,9648,Mystery
670,28,Action
671,12,Adventure
671,14,Fantasy
672,12,Adventure
672,14,Fantasy
673,12,Adventure
673,14,Fantasy
674,12,Adventure
674,14,Fantasy
674,10751,Family
675,12,Adventure
675,14,Fantasy
675,9648,Mystery
676,28,Action
676,10752,War
676,36,History
676,10749,Romance
676,18,Drama
677,99,Documentary
678,80,Crime
678,18,Drama
678,10749,Romance
678,53,Thriller
679,28,Action
679,53,Thriller
679,878,Science Fiction
680,53,Thriller
680,80,Crime
681,12,Adventure
681,28,Action
681,53,Thriller
682,12,Adventure
682,28,Action
682,53,Thriller
685,99,Documentary
686,18,Drama
686,878,Science Fiction
686,9648,Mystery
687,18,Drama
688,18,Drama
688,10749,Romance
689,18,Drama
689,10752,War
689,36,History
690,80,Crime
690,18,Drama
691,12,Adventure
691,28,Action
691,53,Thriller
692,35,Comedy
692,80,Crime
693,35,Comedy
693,10749,Romance
694,27,Horror
694,53,Thriller
695,35,Comedy
695,18,Drama
696,35,Comedy
696,18,Drama
696,10749,Romance
697,18,Drama
697,36,History
698,28,Action
698,12,Adventure
698,53,Thriller
698,878,Science Fiction
699,12,Adventure
699,28,Action
699,53,Thriller
700,12,Adventure
700,28,Action
700,53,Thriller
