movieid,genreid,genrename
301,37,Western
302,80,Crime
302,53,Thriller
303,53,Thriller
303,10749,Romance
303,9648,Mystery
306,28,Action
306,35,Comedy
306,80,Crime
307,18,Drama
307,36,History
307,10752,War
308,35,Comedy
308,18,Drama
308,9648,Mystery
308,10749,Romance
309,18,Drama
310,14,Fantasy
310,35,Comedy
311,18,Drama
311,80,Crime
312,18,Drama
312,10402,Music
313,10749,Romance
313,18,Drama
314,28,Action
314,14,Fantasy
314,9648,Mystery
314,80,Crime
315,28,Action
315,80,Crime
315,35,Comedy
316,35,Comedy
316,18,Drama
317,18,Drama
317,36,History
318,18,Drama
318,53,Thriller
319,28,Action
319,80,Crime
319,10749,Romance
320,80,Crime
320,9648,Mystery
320,53,Thriller
321,35,Comedy
321,10749,Romance
322,53,Thriller
322,80,Crime
322,18,Drama
322,9648,Mystery
326,28,Action
326,80,Crime
326,53,Thriller
326,27,Horror
327,80,Crime
327,18,Drama
327,53,Thriller
329,12,Adventure
329,878,Science Fiction
330,12,Adventure
330,28,Action
330,878,Science Fiction
331,12,Adventure
331,28,Action
331,53,Thriller
331,878,Science Fiction
332,28,Action
332,12,Adventure
332,35,Comedy
332,10751,Family
333,35,Comedy
333,18,Drama
333,10402,Music
333,10749,Romance
334,18,Drama
335,18,Drama
335,37,Western
336,37,Western
337,18,Drama
338,35,Comedy
338,18,Drama
339,35,Comedy
339,18,Drama
340,35,Comedy
340,18,Drama
341,80,Crime
342,35,Comedy
342,18,Drama
343,35,Comedy
343,18,Drama
343,10749,Romance
344,80,Crime
344,28,Action
344,35,Comedy
345,18,Drama
345,53,Thriller
345,9648,Mystery
346,28,Action
346,18,Drama
347,18,Drama
348,27,Horror
348,878,Science Fiction
349,35,Comedy
350,35,Comedy
350,18,Drama
350,10749,Romance
351,18,Drama
363,18,Drama
363,10749,Romance
364,28,Action
364,14,Fantasy
377,27,Horror
378,35,Comedy
378,80,Crime
379,18,Drama
379,53,Thriller
379,80,Crime
380,18,Drama
381,80,Crime
381,18,Drama
381,9648,Mystery
381,10749,Romance
381,53,Thriller
383,18,Drama
387,18,Drama
387,36,History
387,10752,War
388,80,Crime
388,18,Drama
388,53,Thriller
389,18,Drama
390,18,Drama
390,10402,Music
391,37,Western
392,35,Comedy
392,18,Drama
392,10749,Romance
393,28,Action
393,80,Crime
393,53,Thriller
395,12,Adventure
395,878,Science Fiction
395,28,Action
395,27,Horror
396,18,Drama
397,35,Comedy
397,10749,Romance
398,80,Crime
398,18,Drama
400,18,Drama
400,80,Crime
