movieid,genreid,genrename
401,35,Comedy
401,18,Drama
401,10749,Romance
402,53,Thriller
402,9648,Mystery
403,18,Drama
404,18,Drama
405,18,Drama
406,18,Drama
407,80,Crime
407,53,Thriller
407,18,Drama
408,14,Fantasy
408,16,Animation
408,10751,Family
409,18,Drama
409,10749,Romance
409,10752,War
410,35,Comedy
410,18,Drama
411,12,Adventure
411,10751,Family
411,14,Fantasy
414,28,Action
414,80,Crime
414,14,Fantasy
415,878,Science Fiction
415,28,Action
415,12,Adventure
415,35,Comedy
419,35,Comedy
419,10749,Romance
419,18,Drama
419,10402,Music
421,12,Adventure
421,35,Comedy
421,18,Drama
422,14,Fantasy
422,18,Drama
423,18,Drama
423,10752,War
424,18,Drama
424,36,History
424,10752,War
425,16,Animation
425,35,Comedy
425,10751,Family
425,12,Adventure
426,9648,Mystery
426,10749,Romance
426,53,Thriller
427,35,Comedy
428,18,Drama
428,10749,Romance
429,37,Western
430,35,Comedy
431,53,Thriller
431,878,Science Fiction
431,9648,Mystery
433,35,Comedy
433,10751,Family
433,14,Fantasy
434,18,Drama
434,53,Thriller
435,28,Action
435,12,Adventure
435,878,Science Fiction
435,53,Thriller
436,18,Drama
436,53,Thriller
436,80,Crime
437,53,Thriller
437,878,Science Fiction
437,9648,Mystery
438,9648,Mystery
438,878,Science Fiction
438,53,Thriller
439,35,Comedy
439,18,Drama
440,14,Fantasy
440,28,Action
440,878,Science Fiction
440,53,Thriller
440,27,Horror
441,18,Drama
441,35,Comedy
442,35,Comedy
442,18,Drama
445,9648,Mystery
445,18,Drama
445,53,Thriller
446,18,Drama
451,18,Drama
451,10749,Romance
452,18,Drama
452,35,Comedy
453,18,Drama
453,10749,Romance
454,18,Drama
454,10749,Romance
455,35,Comedy
455,18,Drama
455,10749,Romance
457,35,Comedy
457,18,Drama
457,10749,Romance
458,18,Drama
458,35,Comedy
458,10749,Romance
459,10749,Romance
459,18,Drama
459,36,History
460,35,Comedy
462,18,Drama
464,10749,Romance
464,18,Drama
464,35,Comedy
464,10402,Music
465,18,Drama
465,10749,Romance
466,9648,Mystery
466,53,Thriller
466,80,Crime
467,80,Crime
467,18,Drama
467,27,Horror
467,53,Thriller
468,18,Drama
468,12,Adventure
469,35,Comedy
469,18,Drama
470,18,Drama
470,80,Crime
470,53,Thriller
471,18,Drama
473,9648,Mystery
473,18,Drama
473,53,Thriller
475,80,Crime
475,18,Drama
476,18,Drama
476,80,Crime
479,28,Action
479,12,Adventure
479,80,Crime
479,53,Thriller
480,35,Comedy
480,18,Drama
480,10749,Romance
481,18,Drama
482,28,Action
482,80,Crime
482,53,Thriller
483,35,Comedy
483,80,Crime
483,53,Thriller
488,12,Adventure
488,10749,Romance
489,18,Drama
490,14,Fantasy
490,18,Drama
491,18,Drama
492,35,Comedy
492,18,Drama
492,14,Fantasy
493,28,Action
493,12,Adventure
493,80,Crime
493,9648,Mystery
494,12,Adventure
494,28,Action
494,53,Thriller
494,80,Crime
494,9648,Mystery
496,35,Comedy
497,14,Fantasy
497,18,Drama
497,80,Crime
499,18,Drama
500,80,Crime
500,53,Thriller
