movieid,castid,name,originalname,character,isadult,gender,popularity,knownfordepartment
401,5367,Zach Braff,Zach Braff,Andrew Largeman,false,Male,16.375,Acting
401,524,Natalie Portman,Natalie Portman,Sam,false,Female,55.438,Acting
401,65,Ian Holm,Ian Holm,Gideon Largeman,false,Male,11.932,Acting
401,133,Peter Sarsgaard,Peter Sarsgaard,Mark,false,Male,21.751,Acting
401,5376,Jean Smart,Jean Smart,Carol,false,Female,19.759,Acting
401,19497,Armando Riesco,Armando Riesco,Jesse,false,Male,1.632,Acting
401,5385,Jackie Hoffman,Jackie Hoffman,Aunt Sylvia Largeman,false,Female,5.381,Acting
401,5384,Method Man,Method Man,Diego,false,Male,12.584,Acting
401,5395,Alex Burns,Alex Burns,Dave,false,Not set/not specified,0.702,Acting
401,5372,Ron Leibman,Ron Leibman,Dr. Cohen,false,Male,3.037,Acting
401,5374,Jim Parsons,Jim Parsons,Tim,false,Male,25.833,Acting
401,51381,Michael Weston,Michael Weston,Kenny,false,Male,5.709,Acting
401,43366,Ann Dowd,Ann Dowd,Olivia,false,Female,7.213,Acting
401,5377,Ato Essandoh,Ato Essandoh,Titembay,false,Male,13.054,Acting
401,81681,Denis O\'Hare,Denis O\'Hare,Albert,false,Male,12.691,Acting
401,5373,Trisha LaFache,Trisha LaFache,Kelly,false,Female,4.361,Acting
401,5375,Geoffrey Arend,Geoffrey Arend,Karl Benson,false,Male,14.363,Acting
401,5369,George C. Wolfe,George C. Wolfe,Restaurant Manager,false,Male,1.336,Directing
401,5370,Austin Lysy,Austin Lysy,Waiter,false,Not set/not specified,6.172,Acting
401,5371,Gary Gilbert,Gary Gilbert,Young Hollywood Guy,false,Male,1.22,Production
401,118494,Jill Flint,Jill Flint,Obnoxious Girl,false,Female,10.55,Acting
401,74308,Christopher Carley,Christopher Carley,Gleason Party Drunk,false,Male,4.451,Acting
401,230060,Amy Ferguson,Amy Ferguson,Dana,false,Female,5.572,Acting
401,77644,Wynter Kullman,Wynter Kullman,Pam,false,Female,2.503,Acting
401,211,Debbon Ayer,Debbon Ayer,Faye,false,Female,1.647,Acting
401,1533076,Yvette Mercedes,Yvette Mercedes,Neurology Receptionist,false,Not set/not specified,2.831,Acting
401,1232500,Jayne Houdyshell,Jayne Houdyshell,Mrs. Lubin,false,Female,4.508,Acting
401,1828875,Soara-Joye Ross,Soara-Joye Ross,Handi-World Cashier,false,Female,0.6,Acting
401,1811956,Joe Bacino,Joe Bacino,Man Having Sex,false,Male,1.96,Acting
401,1639440,Seth Michael May,Seth Michael May,Peeping Tom,false,Male,0.6,Acting
401,5368,Kenneth Graymez,Kenneth Graymez,Busboy,false,Male,0.6,Acting
401,1840207,Ryan B. Moschetti,Ryan B. Moschetti,Teen in Hallway,false,Not set/not specified,0.6,Acting
401,1840208,Tracey Antosiweicz,Tracey Antosiweicz,Hooker,false,Female,0.6,Acting
401,1840209,Ice,Ice,Arthur-the-Dog,false,Not set/not specified,0.6,Acting
401,1840210,Magoo,Magoo,Masturbating Dog,false,Not set/not specified,0.6,Acting
401,1840211,Janine Strafaci,Janine Strafaci,Herself - News 12 New Jersey News Anchor (voice) (archive footage),false,Not set/not specified,0.6,Acting
401,1840212,Kurt Siegelin,Kurt Siegelin,Himself - News 12 New Jersey News Anchor (archive footage),false,Not set/not specified,0.6,Acting
402,3392,Michael Douglas,Michael Douglas,Det. Nick Curran,false,Male,8.724,Acting
402,4430,Sharon Stone,Sharon Stone,Catherine Tramell,false,Female,32.544,Acting
402,10477,George Dzundza,George Dzundza,Gus Moran,false,Male,8.408,Acting
402,10478,Jeanne Tripplehorn,Jeanne Tripplehorn,Dr. Beth Garner,false,Female,24.362,Acting
402,10485,Leilani Sarelle,Leilani Sarelle,Roxy,false,Female,5.145,Acting
402,10480,Denis Arndt,Denis Arndt,Lt. Philip Walker,false,Male,2.719,Acting
402,4943,Bruce A. Young,Bruce A. Young,Andrews,false,Male,7.808,Acting
402,10486,Chelcie Ross,Chelcie Ross,Capt. Talcott,false,Male,9.704,Acting
402,10487,Dorothy Malone,Dorothy Malone,Hazel Dobkins,false,Female,6.121,Acting
