movieid,castid,name,originalname,character,isadult,gender,popularity,knownfordepartment
2001,73421,Joaquin Phoenix,Joaquin Phoenix,Robert \'Bobby\' Green,false,Male,21.307,Acting
2001,13240,Mark Wahlberg,Mark Wahlberg,Cpt. Joseph \'Joe\' Grusinsky,false,Male,77.491,Acting
2001,8170,Eva Mendes,Eva Mendes,Amada Juarez,false,Female,25.063,Acting
2001,3087,Robert Duvall,Robert Duvall,Dep. Chief Albert \'Burt\' Grusinsky,false,Male,32.837,Acting
2001,20563,Alex Veadov,Alex Veadov,Vadim Nezhinski,false,Male,6.21,Acting
2001,58535,Paul Herman,Paul Herman,Spiro Giavannis,false,Male,6.595,Acting
2001,20562,Antoni Corone,Antoni Corone,Lt. Michael Solo,false,Male,3.075,Acting
2001,20564,Tony Musante,Tony Musante,Cpt. Jack Shapiro,false,Male,5.982,Acting
2001,20566,Katie Condidorio,Katie Condidorio,Hazel,false,Female,4.414,Acting
2001,124909,Danny Hoch,Danny Hoch,Louis \'Jumbo\' Falsetti,false,Male,4.787,Acting
2001,77351,Oleg Taktarov,Oleg Taktarov,Pavel Lubyarsky,false,Male,7.47,Acting
2001,72988,Dominic Colón,Dominic Colón,Freddie,false,Male,1.932,Acting
2001,17928,Joseph D\'Onofrio,Joseph D\'Onofrio,Bloodied Patron,false,Male,4.486,Acting
2001,143978,Yelena Solovey,Yelena Solovey,Kalina Buzhayev,false,Female,3.181,Acting
2001,562949,Moni Moshonov,Moni Moshonov,Marat Buzhayev,false,Male,2.766,Acting
2001,113570,Maggie Kiley,Maggie Kiley,Sandra Grusinsky,false,Female,1.22,Directing
2001,163794,Craig Walker,Craig Walker,Russell De Keifer,false,Male,1.052,Acting
2001,1781689,Claudia Lopez,Claudia Lopez,Claudia,false,Female,0.6,Acting
2001,1781690,Edward Shkolnikov,Edward Shkolnikov,Eli Mirichenko,false,Not set/not specified,0.6,Acting
2001,1781691,Katya Savina,Katya Savina,Eli & Masha\'s Daughter,false,Female,0.6,Acting
2001,1781692,Matthew Djentchouraev,Matthew Djentchouraev,Eli & Masha\'s Son,false,Not set/not specified,0.6,Acting
2001,1781693,Scott Nicholson,Scott Nicholson,Nat the Cop,false,Male,2.188,Acting
2001,150932,Robert C. Kirk,Robert C. Kirk,Sgt. Provenzano,false,Not set/not specified,0.972,Acting
2001,1781694,Al Linea,Al Linea,Portly Cop,false,Not set/not specified,0.608,Acting
2001,1232538,Teddy Coluca,Teddy Coluca,Uniformed Cop #1,false,Male,6.355,Acting
2001,133452,Frank Girardeau,Frank Girardeau,Police Chaplain,false,Male,1.585,Acting
2001,1781695,Joseph Coffey,Joseph Coffey,Uniformed Cop #2,false,Not set/not specified,0.6,Acting
2001,1781696,Jose Edwin Soto,Jose Edwin Soto,Latino Man,false,Not set/not specified,0.6,Acting
2001,1781697,Greg Wilson,Greg Wilson,Poker Player,false,Not set/not specified,0.6,Acting
2001,1145892,Ed Koch,Ed Koch,Mayor,false,Male,0.652,Acting
2001,1577096,Fred Burrell,Fred Burrell,Commissioner Ruddy,false,Male,0.98,Acting
2001,1669956,Mike Massimino,Mike Massimino,Hospital Guard,false,Male,1.534,Acting
2001,1781698,Edward Conlon,Edward Conlon,Hospital Guard #2,false,Not set/not specified,0.6,Acting
2001,176695,Sharon Wilkins,Sharon Wilkins,Nurse,false,Female,6.417,Acting
2001,1660692,Ross Brodar,Ross Brodar,Tattooed Man,false,Male,1.4,Acting
2001,1781700,Francis Toumbakaris,Francis Toumbakaris,Slavic Youth,false,Not set/not specified,0.6,Acting
2001,1255311,Hoon Lee,Hoon Lee,Emergency Services Driver,false,Male,8.822,Acting
