movieid,genreid,genrename
3001,35,Comedy
3001,80,Crime
3002,12,Adventure
3002,878,Science Fiction
3002,10770,TV Movie
3003,12,Adventure
3003,14,Fantasy
3003,878,Science Fiction
3003,10770,TV Movie
3004,35,Comedy
3006,14,Fantasy
3006,27,Horror
3007,18,Drama
3007,35,Comedy
3007,878,Science Fiction
3007,10749,Romance
3008,18,Drama
3008,10749,Romance
3009,80,Crime
3009,18,Drama
3010,18,Drama
3010,36,History
3010,10752,War
3011,35,Comedy
3012,18,Drama
3012,10752,War
3013,80,Crime
3013,53,Thriller
3014,53,Thriller
3015,27,Horror
3015,878,Science Fiction
3016,18,Drama
3016,27,Horror
3016,878,Science Fiction
3017,18,Drama
3017,27,Horror
3017,878,Science Fiction
3019,27,Horror
3019,878,Science Fiction
3021,27,Horror
3021,9648,Mystery
3022,18,Drama
3022,27,Horror
3022,878,Science Fiction
3023,35,Comedy
3023,27,Horror
3023,878,Science Fiction
3024,53,Thriller
3024,10770,TV Movie
3025,27,Horror
3025,878,Science Fiction
3025,10749,Romance
3026,18,Drama
3026,27,Horror
3026,10770,TV Movie
3027,878,Science Fiction
3027,27,Horror
3028,35,Comedy
3028,27,Horror
3028,878,Science Fiction
3029,878,Science Fiction
3030,14,Fantasy
3030,53,Thriller
3030,878,Science Fiction
3031,12,Adventure
3031,27,Horror
3031,878,Science Fiction
3032,28,Action
3032,18,Drama
3032,10770,TV Movie
3033,18,Drama
3034,35,Comedy
3035,18,Drama
3035,27,Horror
3035,878,Science Fiction
3036,18,Drama
3036,27,Horror
3036,878,Science Fiction
3036,10749,Romance
3037,18,Drama
3037,10749,Romance
3037,53,Thriller
3040,14,Fantasy
3040,28,Action
3040,53,Thriller
3041,10749,Romance
3041,18,Drama
3041,35,Comedy
3042,27,Horror
3042,878,Science Fiction
3042,10770,TV Movie
3043,27,Horror
3048,99,Documentary
3049,35,Comedy
3049,12,Adventure
3050,35,Comedy
3050,10751,Family
3050,14,Fantasy
3051,80,Crime
3051,27,Horror
3051,9648,Mystery
3052,35,Comedy
3053,35,Comedy
3053,27,Horror
3054,28,Action
3054,35,Comedy
3055,18,Drama
3055,10749,Romance
3056,10770,TV Movie
3056,18,Drama
3056,27,Horror
3056,878,Science Fiction
3056,9648,Mystery
3059,18,Drama
3059,36,History
3060,18,Drama
3060,10749,Romance
3060,10752,War
3061,18,Drama
3061,10749,Romance
3062,35,Comedy
3062,10402,Music
3062,10749,Romance
3063,35,Comedy
3063,10752,War
3064,14,Fantasy
3064,35,Comedy
3064,10749,Romance
3065,35,Comedy
3065,878,Science Fiction
3066,27,Horror
3066,16,Animation
3066,10770,TV Movie
3067,27,Horror
3067,53,Thriller
3067,10770,TV Movie
3067,878,Science Fiction
3068,27,Horror
3068,10770,TV Movie
3068,878,Science Fiction
3069,27,Horror
3069,878,Science Fiction
3069,53,Thriller
3070,27,Horror
3070,10751,Family
3070,10770,TV Movie
3071,18,Drama
3071,10770,TV Movie
3071,878,Science Fiction
3072,27,Horror
3072,878,Science Fiction
3073,35,Comedy
3073,27,Horror
3074,27,Horror
3074,14,Fantasy
3074,878,Science Fiction
3075,27,Horror
3075,878,Science Fiction
3076,27,Horror
3077,27,Horror
3077,878,Science Fiction
3078,35,Comedy
3078,10749,Romance
3079,27,Horror
3079,878,Science Fiction
3080,35,Comedy
3080,10402,Music
3080,10749,Romance
3081,18,Drama
3082,35,Comedy
3082,18,Drama
3083,35,Comedy
3083,18,Drama
3084,18,Drama
3084,10749,Romance
3085,35,Comedy
3085,18,Drama
3085,10749,Romance
3086,35,Comedy
3086,10749,Romance
3087,18,Drama
3087,10402,Music
3088,37,Western
3089,37,Western
3089,12,Adventure
3089,18,Drama
3089,10749,Romance
3090,12,Adventure
3090,18,Drama
3090,37,Western
3092,80,Crime
3092,18,Drama
3092,53,Thriller
3093,80,Crime
3093,9648,Mystery
3093,53,Thriller
3095,18,Drama
3096,80,Crime
3096,53,Thriller
3097,10752,War
3097,18,Drama
3097,36,History
3097,12,Adventure
3097,10749,Romance
3097,53,Thriller
3098,10752,War
3098,18,Drama
3098,36,History
3098,12,Adventure
3098,35,Comedy
3098,10749,Romance
3098,53,Thriller
3099,10752,War
3099,18,Drama
3099,12,Adventure
3099,10749,Romance
3099,53,Thriller
3100,18,Drama
3100,36,History
3101,35,Comedy
3101,80,Crime
3102,18,Drama
3103,27,Horror
3104,27,Horror
3104,878,Science Fiction
3105,18,Drama
3105,27,Horror
3105,878,Science Fiction
3107,28,Action
3107,878,Science Fiction
3109,10749,Romance
3109,35,Comedy
3109,18,Drama
3110,18,Drama
3110,37,Western
3111,18,Drama
3111,10402,Music
3111,10749,Romance
3112,80,Crime
3112,18,Drama
3112,53,Thriller
3113,35,Comedy
3114,37,Western
3115,878,Science Fiction
3115,28,Action
3115,14,Fantasy
3116,18,Drama
3117,27,Horror
3117,878,Science Fiction
3118,35,Comedy
3118,27,Horror
3119,14,Fantasy
3121,18,Drama
3121,10402,Music
3121,35,Comedy
3122,27,Horror
3122,878,Science Fiction
3124,27,Horror
3124,878,Science Fiction
3125,27,Horror
3125,878,Science Fiction
3126,16,Animation
3126,35,Comedy
3127,27,Horror
3127,878,Science Fiction
3131,18,Drama
3131,36,History
3131,80,Crime
3132,28,Action
3132,12,Adventure
3132,35,Comedy
3132,53,Thriller
3133,18,Drama
3133,80,Crime
3134,80,Crime
3134,18,Drama
3134,10749,Romance
3134,53,Thriller
3144,35,Comedy
3144,27,Horror
3144,10402,Music
3145,27,Horror
3145,878,Science Fiction
3146,28,Action
3146,27,Horror
3146,878,Science Fiction
3147,99,Documentary
3147,27,Horror
3148,28,Action
3148,35,Comedy
3148,80,Crime
3149,80,Crime
3149,27,Horror
3149,878,Science Fiction
3149,37,Western
3150,16,Animation
3150,878,Science Fiction
3151,35,Comedy
3151,27,Horror
3152,35,Comedy
3152,27,Horror
3159,27,Horror
3160,27,Horror
3160,878,Science Fiction
3161,99,Documentary
3162,878,Science Fiction
3162,28,Action
3162,27,Horror
3163,27,Horror
3164,27,Horror
3164,878,Science Fiction
3165,27,Horror
3165,878,Science Fiction
3166,27,Horror
3166,878,Science Fiction
3168,18,Drama
3170,16,Animation
3170,18,Drama
3170,10751,Family
3171,16,Animation
3171,35,Comedy
3172,35,Comedy
3172,80,Crime
3173,53,Thriller
3173,28,Action
3173,80,Crime
3173,18,Drama
3174,16,Animation
3175,18,Drama
3175,10749,Romance
3175,10752,War
3176,18,Drama
3176,53,Thriller
3176,28,Action
3177,28,Action
3177,53,Thriller
3178,18,Drama
3179,16,Animation
3179,35,Comedy
3199,27,Horror
3200,35,Comedy
3200,14,Fantasy
3201,28,Action
3201,27,Horror
3201,878,Science Fiction
3202,27,Horror
3202,878,Science Fiction
3203,27,Horror
3203,878,Science Fiction
3203,18,Drama
3204,99,Documentary
3204,27,Horror
3205,27,Horror
3205,878,Science Fiction
3206,27,Horror
3206,878,Science Fiction
3208,27,Horror
3208,878,Science Fiction
3209,27,Horror
3210,27,Horror
3210,878,Science Fiction
3214,27,Horror
3214,28,Action
3215,35,Comedy
3215,27,Horror
3216,27,Horror
3216,878,Science Fiction
3217,35,Comedy
3217,27,Horror
3218,35,Comedy
3218,14,Fantasy
3218,27,Horror
