title,originaltitle,tmdbid,imdbid,isadult,runtime,budget,revenue,votecount,voteaverage,originallanguage,releasedate
How to Steal a Million,How to Steal a Million,3001,tt0060522,false,123,0,0,463,7.536,en,1966-07-13
The Lost World,The Lost World,3002,tt0191252,false,92,0,0,6,6.2,en,1999-02-01
The Lost World,The Lost World,3003,tt0302739,false,150,0,0,55,5.982,en,2001-12-25
Twelve Plus One,12 + 1,3004,tt0065361,false,94,0,0,15,5.3,en,1969-10-07
Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde,3006,tt0126875,false,16,0,0,0,0,en,1908-08-07
Woman in the Moon,Frau im Mond,3007,tt0019901,false,170,0,0,72,7.4,de,1929-10-14
10:30 P.M. Summer,10:30 P.M. Summer,3008,tt0060045,false,85,0,0,16,5.7,en,1966-10-24
The Trial,Le Procès,3009,tt0057427,false,118,1300000,0,352,7.533,en,1962-12-21
The Cardinal,The Cardinal,3010,tt0056907,false,175,0,0,34,6.6,en,1963-12-12
Good Neighbor Sam,Good Neighbor Sam,3011,tt0058153,false,130,0,0,28,6.9,en,1964-07-22
The Victors,The Victors,3012,tt0057652,false,175,0,0,17,7,en,1963-11-22
Bloodline,Bloodline,3013,tt0078879,false,116,0,0,30,4.6,en,1979-06-29
The Man Between,The Man Between,3014,tt0046031,false,100,0,0,41,7.1,en,1953-11-18
The Head of Janus,Der Januskopf,3015,tt0011348,false,107,0,0,0,0,de,1920-08-26
Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde,3016,tt0011130,false,79,0,0,100,7,en,1920-03-18
Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde,3017,tt0011131,false,40,0,0,4,6,en,1920-04-01
Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde,3019,tt0022835,false,98,535000,1300000,198,7.3,en,1931-12-24
1408,1408,3021,tt0450385,false,104,25000000,132963417,3531,6.659,en,2007-06-22
Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde,3022,tt0033553,false,113,0,0,130,6.5,en,1941-08-12
Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,3023,tt0045469,false,76,724805,1200000,56,6.6,en,1953-08-01
The Strange Case of Dr. Jekyll and Mr. Hyde,The Strange Case of Dr. Jekyll and Mr. Hyde,3024,tt0062908,false,120,900000,0,5,6.6,en,1968-01-07
The Two Faces of Dr. Jekyll,The Two Faces of Dr. Jekyll,3025,tt0054416,false,88,0,0,72,6.3,en,1960-10-24
The Doctor\'s Horrible Experiment,Le Testament du Docteur Cordelier,3026,tt0053348,false,95,0,0,30,6.7,fr,1959-01-01
Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde,3027,tt0070002,false,90,0,0,2,6,en,1973-03-07
Jekyll and Hyde... Together Again,Jekyll and Hyde... Together Again,3028,tt0084171,false,87,0,0,14,5.4,en,1982-11-10
End of the World,La fin du monde,3029,tt0021864,false,105,0,0,11,5,fr,1931-01-23
End of the World,End of the World,3030,tt0075990,false,88,0,0,16,3.5,en,1977-08-01
Island of Lost Souls,Island of Lost Souls,3031,tt0024188,false,70,300000,0,166,7.054,en,1932-12-31
Angel in Green,Angel in Green,3032,tt0092564,false,96,0,0,2,5.2,en,1987-09-22
Gods and Monsters,Gods and Monsters,3033,tt0120684,false,105,10000000,6451628,273,7.044,en,1998-01-21
Young Frankenstein,Young Frankenstein,3034,tt0072431,false,106,2800000,86273333,2618,7.932,en,1974-12-15
Frankenstein,Frankenstein,3035,tt0021884,false,71,291000,12000000,1175,7.524,en,1931-11-21
Mary Shelley\'s Frankenstein,Mary Shelley\'s Frankenstein,3036,tt0109836,false,123,45000000,112006296,997,6.408,en,1994-11-04
Yella,Yella,3037,tt0806686,false,89,3000000,0,65,6.2,de,2007-09-13
Night Watch,Ночной дозор,3040,tt0403358,false,114,10000000,50336279,590,6.271,ru,2004-06-27
In Bed,En la cama,3041,tt0474642,false,85,0,0,70,6.341,es,2005-08-03
Frankenstein,Frankenstein,3042,tt0106959,false,117,0,0,9,4.7,en,1993-06-13
Flesh for Frankenstein,Flesh for Frankenstein,3043,tt0071508,false,95,450000,0,96,5.8,en,1973-11-30
The Great Global Warming Swindle,The Great Global Warming Swindle,3048,tt1020027,false,74,0,0,30,6.4,de,2007-03-08
Ace Ventura: Pet Detective,Ace Ventura: Pet Detective,3049,tt0109040,false,86,15000000,107217396,4828,6.525,en,1994-02-04
Doctor Dolittle,Doctor Dolittle,3050,tt0118998,false,85,71000000,294456605,2623,5.681,en,1998-06-26
Eye of the Devil,Eye of the Devil,3051,tt0061634,false,96,0,0,38,6.3,en,1966-11-18
Don\'t Make Waves,Don\'t Make Waves,3052,tt0061590,false,97,0,0,19,5.8,en,1967-06-20
The Fearless Vampire Killers,The Fearless Vampire Killers,3053,tt0061655,false,108,2000000,0,562,7.072,en,1967-02-01
The Wrecking Crew,The Wrecking Crew,3054,tt0065225,false,105,0,2400000,41,5.7,en,1968-12-30
Valley of the Dolls,Valley of the Dolls,3055,tt0062430,false,123,5000000,50000000,85,6.2,en,1967-12-27
Frankenstein,Frankenstein,3056,tt0397430,false,88,0,0,27,4.5,en,2004-10-09
Intolerance: Love\'s Struggle Throughout the Ages,Intolerance: Love\'s Struggle Throughout the Ages,3059,tt0006864,false,197,8394751,4000000,257,7.191,en,1916-09-04
The Big Parade,The Big Parade,3060,tt0015624,false,151,382000,20000000,86,7.6,en,1925-11-05
The Crowd,The Crowd,3061,tt0018806,false,98,0,0,133,7.703,en,1928-03-03
42nd Street,42nd Street,3062,tt0024034,false,89,439000,2281000,124,6.907,en,1933-03-11
Duck Soup,Duck Soup,3063,tt0023969,false,69,0,0,594,7.406,en,1933-11-12
Chances Are,Chances Are,3064,tt0097044,false,108,16000000,16300000,218,6.683,en,1989-03-10
Mystery Science Theater 3000: The Movie,Mystery Science Theater 3000: The Movie,3065,tt0117128,false,73,0,0,162,6.796,en,1996-04-19
Monster of Frankenstein,恐怖伝説　怪奇！フランケンシュタイン,3066,tt0270954,false,98,0,0,8,5.5,ja,1981-07-27
Frankenstein,Frankenstein,3067,tt0087288,false,67,0,0,5,4,en,1984-12-27
