movieid,genreid,genrename
101,80,Crime
101,18,Drama
101,28,Action
102,18,Drama
102,10749,Romance
103,80,Crime
103,18,Drama
104,28,Action
104,18,Drama
104,53,Thriller
105,12,Adventure
105,35,Comedy
105,878,Science Fiction
105,10751,Family
106,878,Science Fiction
106,28,Action
106,12,Adventure
106,53,Thriller
107,80,Crime
107,35,Comedy
108,18,Drama
109,35,Comedy
109,18,Drama
109,9648,Mystery
110,18,Drama
110,9648,Mystery
110,10749,Romance
111,28,Action
111,80,Crime
111,18,Drama
112,35,Comedy
112,18,Drama
112,10749,Romance
113,18,Drama
114,10749,Romance
114,35,Comedy
115,35,Comedy
115,80,Crime
116,18,Drama
116,53,Thriller
116,80,Crime
116,10749,Romance
117,80,Crime
117,18,Drama
117,36,History
117,53,Thriller
118,12,Adventure
118,35,Comedy
118,10751,Family
118,14,Fantasy
120,12,Adventure
120,14,Fantasy
120,28,Action
121,12,Adventure
121,14,Fantasy
121,28,Action
122,12,Adventure
122,14,Fantasy
122,28,Action
123,12,Adventure
123,16,Animation
123,14,Fantasy
124,18,Drama
125,99,Documentary
126,18,Drama
126,10770,TV Movie
127,18,Drama
128,12,Adventure
128,14,Fantasy
128,16,Animation
129,16,Animation
129,10751,Family
129,14,Fantasy
132,99,Documentary
132,10402,Music
133,99,Documentary
134,12,Adventure
134,35,Comedy
134,80,Crime
135,99,Documentary
135,10402,Music
136,18,Drama
136,27,Horror
137,10749,Romance
137,14,Fantasy
137,18,Drama
137,35,Comedy
138,27,Horror
138,18,Drama
138,14,Fantasy
139,18,Drama
139,35,Comedy
139,10749,Romance
140,80,Crime
140,18,Drama
141,14,Fantasy
141,18,Drama
141,9648,Mystery
142,18,Drama
142,10749,Romance
143,18,Drama
143,10752,War
144,18,Drama
144,14,Fantasy
144,10749,Romance
145,18,Drama
145,10749,Romance
146,12,Adventure
146,18,Drama
146,28,Action
146,10749,Romance
147,18,Drama
148,10749,Romance
148,18,Drama
149,16,Animation
149,878,Science Fiction
149,28,Action
150,53,Thriller
150,28,Action
150,35,Comedy
150,80,Crime
150,18,Drama
152,878,Science Fiction
152,12,Adventure
152,9648,Mystery
153,35,Comedy
153,18,Drama
153,10749,Romance
154,28,Action
154,12,Adventure
154,878,Science Fiction
154,53,Thriller
155,18,Drama
155,28,Action
155,80,Crime
155,53,Thriller
156,35,Comedy
156,18,Drama
156,10749,Romance
157,878,Science Fiction
157,28,Action
157,12,Adventure
157,53,Thriller
158,35,Comedy
158,80,Crime
159,35,Comedy
159,18,Drama
160,99,Documentary
161,53,Thriller
161,80,Crime
162,14,Fantasy
162,18,Drama
162,10749,Romance
163,53,Thriller
163,80,Crime
164,35,Comedy
164,10749,Romance
165,12,Adventure
165,35,Comedy
165,10751,Family
165,878,Science Fiction
166,18,Drama
166,10749,Romance
166,35,Comedy
167,878,Science Fiction
167,18,Drama
168,878,Science Fiction
168,12,Adventure
169,878,Science Fiction
169,28,Action
169,53,Thriller
170,27,Horror
170,53,Thriller
170,878,Science Fiction
171,35,Comedy
171,10749,Romance
171,18,Drama
172,878,Science Fiction
172,28,Action
172,12,Adventure
172,53,Thriller
173,12,Adventure
173,18,Drama
173,10751,Family
173,14,Fantasy
173,878,Science Fiction
174,878,Science Fiction
174,28,Action
174,12,Adventure
174,53,Thriller
175,12,Adventure
175,18,Drama
175,10749,Romance
176,27,Horror
176,9648,Mystery
176,80,Crime
177,35,Comedy
177,18,Drama
178,53,Thriller
178,28,Action
178,80,Crime
178,18,Drama
179,80,Crime
179,53,Thriller
180,28,Action
180,53,Thriller
180,878,Science Fiction
180,9648,Mystery
182,18,Drama
182,10752,War
182,53,Thriller
182,9648,Mystery
183,12,Adventure
183,35,Comedy
183,18,Drama
183,10751,Family
184,80,Crime
184,53,Thriller
184,18,Drama
185,878,Science Fiction
185,18,Drama
186,18,Drama
186,53,Thriller
186,80,Crime
186,9648,Mystery
187,53,Thriller
187,28,Action
187,80,Crime
189,80,Crime
189,28,Action
189,53,Thriller
190,99,Documentary
191,18,Drama
192,18,Drama
192,53,Thriller
192,9648,Mystery
193,878,Science Fiction
193,28,Action
193,12,Adventure
193,53,Thriller
194,35,Comedy
194,10749,Romance
195,35,Comedy
195,80,Crime
195,10749,Romance
196,12,Adventure
196,35,Comedy
196,878,Science Fiction
197,28,Action
197,18,Drama
197,36,History
197,10752,War
198,35,Comedy
198,10752,War
199,878,Science Fiction
199,28,Action
199,12,Adventure
199,53,Thriller
200,878,Science Fiction
200,28,Action
200,12,Adventure
200,53,Thriller
