movieid,castid,name,originalname,character,isadult,gender,popularity,knownfordepartment
201,2387,Patrick Stewart,Patrick Stewart,Captain Jean-Luc Picard,false,Male,46.52,Acting
201,2388,Jonathan Frakes,Jonathan Frakes,Commander William T. Riker,false,Male,16.372,Acting
201,1213786,Brent Spiner,Brent Spiner,Lt. Commander Data,false,Male,9.857,Acting
201,2390,LeVar Burton,LeVar Burton,Lt. Commander Geordi La Forge,false,Male,6.052,Acting
201,2391,Michael Dorn,Michael Dorn,Lt. Commander Worf,false,Male,11.653,Acting
201,2392,Gates McFadden,Gates McFadden,Dr. Beverly Crusher,false,Female,7.412,Acting
201,2393,Marina Sirtis,Marina Sirtis,Counselor Deanna Troi,false,Female,20.317,Acting
201,2524,Tom Hardy,Tom Hardy,Praetor Shinzon,false,Male,158.399,Acting
201,2372,Ron Perlman,Ron Perlman,The Reman Viceroy,false,Male,29.717,Acting
201,2525,Shannon Cochran,Shannon Cochran,Senator Tal\'aura,false,Female,3.967,Acting
201,2133,Dina Meyer,Dina Meyer,Commander Donatra,false,Female,42.707,Acting
201,35317,Kate Mulgrew,Kate Mulgrew,Admiral Janeway,false,Female,8.209,Acting
201,3033,Wil Wheaton,Wil Wheaton,Wesley Crusher,false,Male,18.038,Acting
201,2395,Whoopi Goldberg,Whoopi Goldberg,Guinan,false,Female,22.05,Acting
201,2523,Stuart Baird,Stuart Baird,Scimitar Computer (voice),false,Male,4.007,Editing
201,52760,Alan Dale,Alan Dale,Praetor Hiren,false,Male,9.143,Acting
201,9032,Bryan Singer,Bryan Singer,Kelly (uncredited),false,Male,3.246,Directing
201,1341996,David Ralphe,David Ralphe,Commander,false,Male,0.6,Acting
203,380,Robert De Niro,Robert De Niro,John \'Johnny Boy\' Civello,false,Male,46.644,Acting
203,1037,Harvey Keitel,Harvey Keitel,Charlie Cappa,false,Male,12.881,Acting
203,2555,David Proval,David Proval,Tony DeVienazo,false,Male,12.051,Acting
203,2556,Amy Robinson,Amy Robinson,Teresa Ronchelli,false,Not set/not specified,5.116,Production
203,2557,Richard Romanus,Richard Romanus,Michael Longo,false,Male,11.725,Acting
203,2558,Cesare Danova,Cesare Danova,Giovanni Cappa,false,Male,5.919,Acting
203,2561,Victor Argo,Victor Argo,Mario,false,Male,8.592,Acting
203,2563,George Memmoli,George Memmoli,Joey \'Clams\' Scala,false,Male,1.62,Acting
203,2564,Lenny Scaletta,Lenny Scaletta,Jimmy,false,Not set/not specified,0.6,Acting
203,2575,Jeannie Bell,Jeannie Bell,Diane,false,Female,2.909,Acting
203,77255,Murray Moston,Murray Moston,Oscar,false,Male,3.377,Acting
203,141,David Carradine,David Carradine,Drunk,false,Male,16.025,Acting
203,62036,Robert Carradine,Robert Carradine,Boy With Gun,false,Male,10.745,Acting
203,1744186,Lois Walden,Lois Walden,Jewish Girl,false,Female,0.6,Acting
203,127738,Harry Northup,Harry Northup,Soldier,false,Male,0.6,Acting
203,1973915,Dino Seragusa,Dino Seragusa,Old Man,false,Not set/not specified,0.6,Acting
203,160510,D\'Mitch Davis,D\'Mitch Davis,Cop,false,Male,1.38,Acting
203,1973916,Peter Fain,Peter Fain,George,false,Not set/not specified,0.6,Acting
203,100627,Juli Andelman,Juli Andelman,Girl At Party,false,Not set/not specified,0.6,Acting
203,1973831,Robert Wilder,Robert Wilder,Benton,false,Not set/not specified,0.6,Acting
203,1973828,Ken Sinclair,Ken Sinclair,Sammy,false,Not set/not specified,0.6,Acting
203,1137015,Jaime Alba,Jaime Alba,Young Boy #1,false,Not set/not specified,0.98,Acting
203,1973917,Ken Konstantin,Ken Konstantin,Young Boy #2,false,Not set/not specified,0.6,Acting
203,1973919,Nicki \'Ack\' Aquilino,Nicki \'Ack\' Aquilino,Man On Docks,false,Not set/not specified,0.6,Acting
203,1973920,B. Mitchell Reed,B. Mitchell Reed,Disc Jockey,false,Not set/not specified,0.6,Acting
203,1032,Martin Scorsese,Martin Scorsese,Jimmy Shorts (Uncredited),false,Male,15.495,Directing
203,11483,Catherine Scorsese,Catherine Scorsese,Woman on Landing (uncredited),false,Female,4.588,Acting
204,2565,Yves Montand,Yves Montand,Mario Livi,false,Male,3.831,Acting
204,2566,Charles Vanel,Charles Vanel,Mr. Jo,false,Male,1.782,Acting
204,2567,Peter van Eyck,Peter van Eyck,Bimba,false,Male,8.855,Acting
204,2568,Folco Lulli,Folco Lulli,Luigi,false,Male,2.353,Acting
204,2569,Véra Clouzot,Véra Clouzot,Linda,false,Female,1.4,Acting
204,2570,Antonio Centa,Antonio Centa,Camp Chief,false,Male,2.188,Acting
204,2572,Luis De Lima,Luis De Lima,Bernardo,false,Male,0.6,Acting
204,2573,Jo Dest,Jo Dest,Hans Smerloff,false,Not set/not specified,0.732,Acting
204,397,Darío Moreno,Darío Moreno,Pepito Hernandez,false,Male,1.586,Acting
204,2576,William Tubbs,William Tubbs,Bill O\'Brien,false,Male,5.591,Acting
204,586308,Darling Légitimus,Darling Légitimus,Rosa,false,Female,0.6,Acting
204,119813,Grégoire Gromoff,Grégoire Gromoff,,false,Male,0.6,Acting
204,1403304,Joseph Palau-Fabre,Joseph Palau-Fabre,,false,Male,0.6,Acting
204,580782,François Valorbe,François Valorbe,(uncredited),false,Male,2.094,Acting
204,1797572,Pat Hurst,Pat Hurst,(uncredited),false,Male,0.6,Acting
205,1896,Don Cheadle,Don Cheadle,Paul Rusesabagina,false,Male,25.343,Acting
205,2598,Sophie Okonedo,Sophie Okonedo,Tatiana Rusesabagina,false,Female,23.22,Acting
205,1733,Nick Nolte,Nick Nolte,Colonel Oliver,false,Male,18.53,Acting
205,2607,Fana Mokoena,Fana Mokoena,General Bizimungu,false,Not set/not specified,4.94,Acting
