movieid,genreid,genrename
201,878,Science Fiction
201,28,Action
201,12,Adventure
201,53,Thriller
203,18,Drama
203,80,Crime
204,18,Drama
204,53,Thriller
204,12,Adventure
205,18,Drama
205,36,History
205,10752,War
206,18,Drama
207,18,Drama
211,35,Comedy
211,18,Drama
212,35,Comedy
212,80,Crime
213,9648,Mystery
213,53,Thriller
214,27,Horror
214,53,Thriller
214,80,Crime
215,27,Horror
216,10749,Romance
216,18,Drama
217,12,Adventure
217,28,Action
218,28,Action
218,53,Thriller
218,878,Science Fiction
219,35,Comedy
219,18,Drama
219,10749,Romance
220,18,Drama
220,10749,Romance
221,18,Drama
222,99,Documentary
222,16,Animation
222,36,History
223,9648,Mystery
223,18,Drama
223,53,Thriller
223,10749,Romance
224,18,Drama
225,18,Drama
225,36,History
226,80,Crime
226,18,Drama
227,80,Crime
227,18,Drama
228,18,Drama
229,18,Drama
229,27,Horror
229,878,Science Fiction
231,18,Drama
231,53,Thriller
232,28,Action
232,80,Crime
232,18,Drama
233,18,Drama
234,18,Drama
234,27,Horror
234,53,Thriller
234,80,Crime
235,80,Crime
235,18,Drama
236,35,Comedy
236,18,Drama
236,10749,Romance
237,18,Drama
237,53,Thriller
237,80,Crime
237,10749,Romance
238,18,Drama
238,80,Crime
239,35,Comedy
239,10402,Music
239,10749,Romance
239,80,Crime
240,18,Drama
240,80,Crime
241,80,Crime
241,53,Thriller
241,18,Drama
242,80,Crime
242,18,Drama
242,53,Thriller
243,35,Comedy
243,18,Drama
243,10749,Romance
243,10402,Music
244,12,Adventure
244,14,Fantasy
244,27,Horror
245,18,Drama
245,35,Comedy
245,10749,Romance
246,12,Adventure
246,18,Drama
246,28,Action
247,80,Crime
247,18,Drama
247,53,Thriller
248,35,Comedy
248,18,Drama
249,35,Comedy
249,18,Drama
250,28,Action
250,35,Comedy
250,80,Crime
251,14,Fantasy
251,18,Drama
251,53,Thriller
251,9648,Mystery
251,10749,Romance
252,10751,Family
252,14,Fantasy
252,35,Comedy
253,12,Adventure
253,28,Action
253,53,Thriller
254,12,Adventure
254,18,Drama
254,28,Action
255,35,Comedy
255,18,Drama
255,10749,Romance
256,35,Comedy
256,18,Drama
256,10749,Romance
257,80,Crime
257,18,Drama
257,10751,Family
258,35,Comedy
258,18,Drama
258,10749,Romance
259,35,Comedy
259,18,Drama
259,10749,Romance
260,9648,Mystery
260,53,Thriller
261,18,Drama
261,10749,Romance
262,18,Drama
262,35,Comedy
265,10752,War
265,18,Drama
265,10749,Romance
266,18,Drama
267,18,Drama
267,53,Thriller
267,10749,Romance
268,14,Fantasy
268,28,Action
268,80,Crime
269,18,Drama
269,80,Crime
270,35,Comedy
270,18,Drama
270,14,Fantasy
271,12,Adventure
271,18,Drama
271,14,Fantasy
271,10751,Family
272,28,Action
272,80,Crime
272,18,Drama
273,18,Drama
274,80,Crime
274,18,Drama
274,53,Thriller
275,80,Crime
275,18,Drama
275,53,Thriller
276,18,Drama
276,35,Comedy
277,14,Fantasy
277,28,Action
277,53,Thriller
278,18,Drama
278,80,Crime
279,36,History
279,10402,Music
279,18,Drama
280,28,Action
280,53,Thriller
280,878,Science Fiction
281,80,Crime
281,18,Drama
281,878,Science Fiction
281,53,Thriller
284,35,Comedy
284,18,Drama
284,10749,Romance
285,12,Adventure
285,14,Fantasy
285,28,Action
286,99,Documentary
287,35,Comedy
287,10749,Romance
288,37,Western
288,53,Thriller
289,18,Drama
289,10749,Romance
290,35,Comedy
290,18,Drama
290,80,Crime
291,99,Documentary
292,35,Comedy
292,99,Documentary
292,10402,Music
293,18,Drama
293,10751,Family
294,18,Drama
294,10749,Romance
296,28,Action
296,53,Thriller
296,878,Science Fiction
297,14,Fantasy
297,18,Drama
297,10749,Romance
298,80,Crime
298,53,Thriller
299,80,Crime
299,35,Comedy
299,10402,Music
299,53,Thriller
300,35,Comedy
300,18,Drama
300,14,Fantasy
