movieid,genreid,genrename
1018,53,Thriller
1018,18,Drama
1018,9648,Mystery
1023,18,Drama
1023,35,Comedy
1023,80,Crime
1024,18,Drama
1024,14,Fantasy
1039,18,Drama
1040,18,Drama
1049,18,Drama
1049,53,Thriller
1049,9648,Mystery
1049,10749,Romance
1050,35,Comedy
1050,18,Drama
1051,28,Action
1051,80,Crime
1051,53,Thriller
1052,18,Drama
1052,9648,Mystery
1052,53,Thriller
1058,10749,Romance
1058,18,Drama
1058,28,Action
1059,12,Adventure
1059,18,Drama
1059,28,Action
1059,35,Comedy
1073,80,Crime
1073,18,Drama
1073,53,Thriller
1073,9648,Mystery
1075,35,Comedy
1075,10749,Romance
1075,80,Crime
1088,18,Drama
1088,10751,Family
1089,28,Action
1089,53,Thriller
1089,80,Crime
1090,53,Thriller
1090,878,Science Fiction
1090,9648,Mystery
1091,27,Horror
1091,9648,Mystery
1091,878,Science Fiction
1092,53,Thriller
1092,9648,Mystery
1093,80,Crime
1093,18,Drama
1093,53,Thriller
1103,878,Science Fiction
1103,28,Action
1114,99,Documentary
1114,18,Drama
1115,18,Drama
1116,18,Drama
1116,10752,War
1123,28,Action
1123,18,Drama
1123,53,Thriller
1124,18,Drama
1124,9648,Mystery
1124,878,Science Fiction
1125,18,Drama
1125,10402,Music
1126,18,Drama
1126,9648,Mystery
1126,53,Thriller
1127,18,Drama
1162,18,Drama
1163,18,Drama
1163,10770,TV Movie
1164,18,Drama
1165,18,Drama
1165,36,History
1213,53,Thriller
1213,80,Crime
1213,18,Drama
1244,10402,Music
1244,18,Drama
1244,35,Comedy
1245,18,Drama
1245,10749,Romance
1246,18,Drama
1246,28,Action
1247,18,Drama
1247,53,Thriller
1247,36,History
1248,80,Crime
1248,18,Drama
1248,53,Thriller
1248,27,Horror
1249,80,Crime
1249,18,Drama
1249,9648,Mystery
1249,10749,Romance
1249,53,Thriller
1250,53,Thriller
1250,28,Action
1250,14,Fantasy
1251,28,Action
1251,18,Drama
1251,10752,War
1252,18,Drama
1252,53,Thriller
1252,80,Crime
1252,10749,Romance
1253,18,Drama
1253,10749,Romance
1254,18,Drama
1255,27,Horror
1255,18,Drama
1255,878,Science Fiction
1256,27,Horror
1256,53,Thriller
1257,10749,Romance
1257,35,Comedy
1259,18,Drama
1259,10749,Romance
1260,12,Adventure
1260,16,Animation
1260,35,Comedy
1260,10751,Family
1262,35,Comedy
1262,18,Drama
1262,14,Fantasy
1262,10749,Romance
1263,35,Comedy
1264,35,Comedy
1264,10751,Family
1264,12,Adventure
1265,12,Adventure
1265,18,Drama
1265,10751,Family
1266,28,Action
1266,80,Crime
1266,18,Drama
1266,53,Thriller
1267,16,Animation
1267,35,Comedy
1267,10751,Family
1268,10751,Family
1268,35,Comedy
1269,35,Comedy
1269,80,Crime
1271,28,Action
1271,12,Adventure
1271,10752,War
1272,878,Science Fiction
1272,53,Thriller
1272,27,Horror
1273,12,Adventure
1273,16,Animation
1273,35,Comedy
1273,10751,Family
1277,18,Drama
1277,10749,Romance
1278,18,Drama
1278,10749,Romance
1279,18,Drama
1280,18,Drama
1280,10749,Romance
1280,80,Crime
1281,35,Comedy
1281,10751,Family
1281,12,Adventure
1282,99,Documentary
1283,35,Comedy
1283,80,Crime
1284,35,Comedy
1284,80,Crime
1285,35,Comedy
1285,80,Crime
1294,18,Drama
1294,10402,Music
1358,99,Documentary
1359,53,Thriller
1359,18,Drama
1359,80,Crime
1360,18,Drama
1360,10749,Romance
1361,16,Animation
1361,14,Fantasy
1361,12,Adventure
1362,10751,Family
1362,14,Fantasy
1362,16,Animation
1362,12,Adventure
1362,10770,TV Movie
1363,18,Drama
1363,28,Action
1363,37,Western
1363,10749,Romance
1364,18,Drama
1364,10749,Romance
1365,18,Drama
1365,10749,Romance
1366,18,Drama
1366,10749,Romance
1367,18,Drama
1368,28,Action
1368,12,Adventure
1368,53,Thriller
1368,10752,War
1369,28,Action
1369,12,Adventure
1369,53,Thriller
1369,10752,War
1370,28,Action
1370,12,Adventure
1370,53,Thriller
1370,10752,War
1371,18,Drama
1371,28,Action
1372,18,Drama
1372,53,Thriller
1372,28,Action
1373,18,Drama
1373,14,Fantasy
1374,18,Drama
1374,28,Action
1375,18,Drama
1375,28,Action
1376,80,Crime
1376,18,Drama
1377,35,Comedy
1377,18,Drama
1377,10751,Family
1377,10749,Romance
1378,10749,Romance
1378,18,Drama
1378,35,Comedy
1379,80,Crime
1379,18,Drama
1380,80,Crime
1380,53,Thriller
1380,28,Action
1381,18,Drama
1381,12,Adventure
1381,878,Science Fiction
1381,10749,Romance
1382,35,Comedy
1382,18,Drama
