movieid,genreid,genrename
901,35,Comedy
901,18,Drama
901,10749,Romance
902,14,Fantasy
902,878,Science Fiction
902,12,Adventure
903,80,Crime
903,18,Drama
904,35,Comedy
904,18,Drama
905,18,Drama
905,10749,Romance
905,80,Crime
906,35,Comedy
906,18,Drama
907,18,Drama
907,10749,Romance
907,10752,War
908,10749,Romance
908,35,Comedy
909,35,Comedy
909,18,Drama
909,10749,Romance
909,10751,Family
910,80,Crime
910,9648,Mystery
910,53,Thriller
911,35,Comedy
912,80,Crime
912,18,Drama
912,10749,Romance
912,53,Thriller
913,18,Drama
913,80,Crime
913,10749,Romance
914,35,Comedy
914,10752,War
916,28,Action
916,80,Crime
916,18,Drama
916,53,Thriller
917,18,Drama
918,35,Comedy
918,10749,Romance
919,16,Animation
919,14,Fantasy
919,27,Horror
920,16,Animation
920,12,Adventure
920,35,Comedy
920,10751,Family
921,10749,Romance
921,18,Drama
921,36,History
922,18,Drama
922,14,Fantasy
922,37,Western
923,27,Horror
924,28,Action
924,27,Horror
925,18,Drama
926,35,Comedy
926,878,Science Fiction
926,12,Adventure
927,14,Fantasy
927,27,Horror
927,35,Comedy
928,35,Comedy
928,27,Horror
928,14,Fantasy
929,878,Science Fiction
929,28,Action
929,53,Thriller
930,18,Drama
930,10749,Romance
931,53,Thriller
931,18,Drama
931,27,Horror
932,18,Drama
933,35,Comedy
933,10402,Music
934,18,Drama
934,28,Action
934,80,Crime
935,18,Drama
935,35,Comedy
935,10752,War
936,35,Comedy
936,80,Crime
938,37,Western
939,18,Drama
939,10402,Music
940,9648,Mystery
940,53,Thriller
940,35,Comedy
941,12,Adventure
941,28,Action
941,35,Comedy
941,53,Thriller
941,80,Crime
942,28,Action
942,12,Adventure
942,35,Comedy
942,80,Crime
942,53,Thriller
943,12,Adventure
943,28,Action
943,35,Comedy
943,53,Thriller
943,80,Crime
944,28,Action
944,12,Adventure
944,35,Comedy
944,80,Crime
944,53,Thriller
946,18,Drama
946,10749,Romance
947,10752,War
947,36,History
947,12,Adventure
947,18,Drama
948,27,Horror
948,53,Thriller
949,28,Action
949,80,Crime
949,18,Drama
949,53,Thriller
950,16,Animation
950,10751,Family
950,35,Comedy
950,12,Adventure
951,35,Comedy
953,10751,Family
953,16,Animation
953,12,Adventure
953,35,Comedy
954,12,Adventure
954,28,Action
954,53,Thriller
955,12,Adventure
955,28,Action
955,53,Thriller
956,12,Adventure
956,28,Action
956,53,Thriller
957,35,Comedy
957,878,Science Fiction
961,28,Action
961,12,Adventure
961,35,Comedy
961,18,Drama
961,10752,War
962,12,Adventure
962,35,Comedy
962,18,Drama
963,9648,Mystery
963,80,Crime
963,53,Thriller
964,18,Drama
964,27,Horror
965,18,Drama
965,10749,Romance
965,36,History
966,37,Western
967,36,History
967,10752,War
967,18,Drama
967,12,Adventure
968,80,Crime
968,18,Drama
968,53,Thriller
975,18,Drama
975,10752,War
976,18,Drama
977,12,Adventure
977,18,Drama
977,10749,Romance
978,12,Adventure
978,18,Drama
978,36,History
979,18,Drama
979,53,Thriller
979,80,Crime
979,9648,Mystery
980,37,Western
980,18,Drama
981,35,Comedy
981,10749,Romance
982,53,Thriller
982,18,Drama
982,9648,Mystery
983,12,Adventure
983,18,Drama
984,28,Action
984,80,Crime
984,53,Thriller
985,14,Fantasy
985,27,Horror
986,35,Comedy
986,18,Drama
986,36,History
987,35,Comedy
988,18,Drama
988,53,Thriller
989,18,Drama
990,18,Drama
991,18,Drama
991,878,Science Fiction
992,28,Action
992,35,Comedy
992,9648,Mystery
993,9648,Mystery
993,53,Thriller
993,80,Crime
994,80,Crime
994,18,Drama
994,53,Thriller
995,37,Western
995,12,Adventure
995,28,Action
995,18,Drama
995,10749,Romance
996,80,Crime
996,18,Drama
996,9648,Mystery
996,53,Thriller
