movieid,genreid,genrename
801,35,Comedy
801,18,Drama
801,10752,War
802,80,Crime
802,18,Drama
802,10749,Romance
803,36,History
803,99,Documentary
803,10752,War
804,10749,Romance
804,35,Comedy
804,18,Drama
805,18,Drama
805,27,Horror
805,53,Thriller
806,27,Horror
807,80,Crime
807,9648,Mystery
807,53,Thriller
808,16,Animation
808,35,Comedy
808,14,Fantasy
808,12,Adventure
808,10751,Family
809,16,Animation
809,10751,Family
809,35,Comedy
809,14,Fantasy
809,12,Adventure
810,14,Fantasy
810,12,Adventure
810,16,Animation
810,35,Comedy
810,10751,Family
811,12,Adventure
811,878,Science Fiction
812,16,Animation
812,10751,Family
812,12,Adventure
812,14,Fantasy
812,10749,Romance
813,35,Comedy
814,27,Horror
814,35,Comedy
815,10751,Family
815,18,Drama
815,35,Comedy
816,878,Science Fiction
816,35,Comedy
816,80,Crime
817,12,Adventure
817,35,Comedy
817,80,Crime
817,878,Science Fiction
818,35,Comedy
818,80,Crime
818,878,Science Fiction
819,80,Crime
819,18,Drama
819,53,Thriller
820,18,Drama
820,53,Thriller
820,36,History
821,18,Drama
821,36,History
821,10752,War
822,18,Drama
822,10402,Music
823,16,Animation
823,878,Science Fiction
823,53,Thriller
823,18,Drama
824,18,Drama
824,10749,Romance
824,10402,Music
825,35,Comedy
825,18,Drama
825,10749,Romance
826,18,Drama
826,36,History
826,10752,War
827,18,Drama
827,27,Horror
827,53,Thriller
828,18,Drama
828,878,Science Fiction
829,80,Crime
829,18,Drama
829,9648,Mystery
829,53,Thriller
830,878,Science Fiction
831,878,Science Fiction
831,12,Adventure
831,27,Horror
832,18,Drama
832,28,Action
832,53,Thriller
832,80,Crime
833,18,Drama
834,14,Fantasy
834,28,Action
834,53,Thriller
835,878,Science Fiction
836,18,Drama
837,27,Horror
837,9648,Mystery
837,878,Science Fiction
838,35,Comedy
838,18,Drama
839,28,Action
839,53,Thriller
839,10770,TV Movie
840,878,Science Fiction
840,18,Drama
841,28,Action
841,878,Science Fiction
841,12,Adventure
842,18,Drama
842,36,History
842,53,Thriller
843,18,Drama
843,10749,Romance
844,14,Fantasy
844,18,Drama
844,878,Science Fiction
844,10749,Romance
845,80,Crime
845,53,Thriller
845,9648,Mystery
846,9648,Mystery
846,878,Science Fiction
846,53,Thriller
847,28,Action
847,12,Adventure
847,14,Fantasy
848,14,Fantasy
848,12,Adventure
849,28,Action
849,12,Adventure
849,14,Fantasy
849,878,Science Fiction
850,35,Comedy
850,10751,Family
851,18,Drama
851,10749,Romance
852,80,Crime
852,53,Thriller
853,18,Drama
853,10752,War
853,36,History
854,10749,Romance
854,35,Comedy
854,80,Crime
854,14,Fantasy
855,28,Action
855,36,History
855,10752,War
856,14,Fantasy
856,16,Animation
856,35,Comedy
856,80,Crime
857,18,Drama
857,36,History
857,10752,War
858,35,Comedy
858,18,Drama
858,10749,Romance
859,18,Drama
859,10749,Romance
860,53,Thriller
860,878,Science Fiction
860,18,Drama
861,28,Action
861,12,Adventure
861,878,Science Fiction
862,16,Animation
862,12,Adventure
862,10751,Family
862,35,Comedy
863,16,Animation
863,35,Comedy
863,10751,Family
864,35,Comedy
864,12,Adventure
864,18,Drama
865,28,Action
865,878,Science Fiction
865,53,Thriller
866,18,Drama
867,18,Drama
867,53,Thriller
868,80,Crime
868,18,Drama
869,53,Thriller
869,878,Science Fiction
869,28,Action
869,12,Adventure
870,18,Drama
870,10749,Romance
871,878,Science Fiction
871,12,Adventure
871,18,Drama
871,28,Action
872,35,Comedy
872,10402,Music
872,10749,Romance
872,18,Drama
873,18,Drama
874,18,Drama
874,36,History
875,12,Adventure
875,18,Drama
875,10749,Romance
875,53,Thriller
877,28,Action
877,80,Crime
877,18,Drama
877,53,Thriller
878,35,Comedy
879,12,Adventure
879,14,Fantasy
879,35,Comedy
879,10751,Family
880,18,Drama
880,35,Comedy
881,18,Drama
882,12,Adventure
883,35,Comedy
883,18,Drama
884,18,Drama
884,53,Thriller
885,18,Drama
885,10749,Romance
886,18,Drama
887,18,Drama
887,10749,Romance
887,10752,War
888,14,Fantasy
888,35,Comedy
888,10751,Family
889,35,Comedy
889,10751,Family
889,10749,Romance
890,18,Drama
891,18,Drama
891,36,History
891,9648,Mystery
891,53,Thriller
892,35,Comedy
892,878,Science Fiction
892,14,Fantasy
893,18,Drama
894,18,Drama
895,18,Drama
895,36,History
896,18,Drama
897,18,Drama
898,80,Crime
898,18,Drama
899,18,Drama
899,10749,Romance
900,35,Comedy
900,10749,Romance
