movieid,crewid,name,originalname,job,role,isadult,gender,popularity,department,knownfordepartment
701,8635,Buster Keaton,Buster Keaton,Director,DIRECTOR,false,Male,7.277,Directing,Acting
701,8635,Buster Keaton,Buster Keaton,Producer,PRODUCER,false,Male,7.277,Production,Acting
701,8635,Buster Keaton,Buster Keaton,Stunts,STUNTS,false,Male,7.277,Crew,Acting
701,10516,John G. Blystone,John G. Blystone,Director,DIRECTOR,false,Male,0.641,Directing,Directing
701,10517,Clyde Bruckman,Clyde Bruckman,Story,STORY,false,Male,2.24,Writing,Writing
701,10518,Jean C. Havez,Jean C. Havez,Screenplay,SCREENPLAY,false,Male,0.652,Writing,Writing
701,10519,Joseph A. Mitchell,Joseph A. Mitchell,Screenplay,SCREENPLAY,false,Male,0.6,Writing,Writing
701,10520,Joseph M. Schenck,Joseph M. Schenck,Producer,PRODUCER,false,Male,0.817,Production,Production
701,10521,Gordon Jennings,Gordon Jennings,DirectorofPhotography,DIRECTOROFPHOTOGRAPHY,false,Male,0.84,Camera,Crew
701,10522,Elgin Lessley,Elgin Lessley,DirectorofPhotography,DIRECTOROFPHOTOGRAPHY,false,Male,0.6,Camera,Camera
701,10523,Fred Gabourie,Fred Gabourie,ArtDirection,ARTDIRECTION,false,Not set/not specified,0.6,Art,Art
701,10524,Walter J. Israel,Walter J. Israel,CostumeDesign,COSTUMEDESIGN,false,Not set/not specified,0.6,Costume & Make-Up,Costume & Make-Up
701,1432391,Chick Collins,Chick Collins,StuntCoordinator,STUNTCOORDINATOR,false,Not set/not specified,0.828,Crew,Acting
702,2746,Elia Kazan,Elia Kazan,Director,DIRECTOR,false,Male,1.195,Directing,Directing
702,2766,David Weisbart,David Weisbart,Editor,EDITOR,false,Male,0.753,Editing,Production
702,3634,Tennessee Williams,Tennessee Williams,Screenplay,SCREENPLAY,false,Male,1.4,Writing,Writing
702,3634,Tennessee Williams,Tennessee Williams,TheatrePlay,THEATREPLAY,false,Male,1.4,Writing,Writing
702,4126,George James Hopkins,George James Hopkins,SetDecoration,SETDECORATION,false,Male,1.96,Art,Art
702,4313,Gordon Bau,Gordon Bau,MakeupArtist,MAKEUPARTIST,false,Male,2.256,Costume & Make-Up,Costume & Make-Up
702,10536,Alex North,Alex North,OriginalMusicComposer,ORIGINALMUSICCOMPOSER,false,Male,1.027,Sound,Sound
702,8506,Richard Day,Richard Day,ArtDirection,ARTDIRECTION,false,Male,1.199,Art,Art
702,10533,Oscar Saul,Oscar Saul,Screenplay,SCREENPLAY,false,Male,1.4,Writing,Writing
702,10535,Charles K. Feldman,Charles K. Feldman,Producer,PRODUCER,false,Male,0.6,Production,Production
702,10537,Harry Stradling Sr.,Harry Stradling Sr.,DirectorofPhotography,DIRECTOROFPHOTOGRAPHY,false,Male,0.6,Camera,Camera
702,8722,C.A. Riggs,C.A. Riggs,SoundDesigner,SOUNDDESIGNER,false,Not set/not specified,0.6,Sound,Sound
702,30267,Ray Heindorf,Ray Heindorf,MusicDirector,MUSICDIRECTOR,false,Male,0.98,Sound,Sound
702,85426,Don Alvarado,Don Alvarado,AssistantDirector,ASSISTANTDIRECTOR,false,Male,0.84,Directing,Acting
702,1309577,Bertram Tuttle,Bertram Tuttle,SupervisingArtDirector,SUPERVISINGARTDIRECTOR,false,Not set/not specified,0.6,Art,Art
702,1514138,Otis Malcolm,Otis Malcolm,MakeupArtist,MAKEUPARTIST,false,Not set/not specified,0.6,Costume & Make-Up,Costume & Make-Up
702,1531026,Nathan Levinson,Nathan Levinson,Sound,SOUND,false,Not set/not specified,0.6,Sound,Sound
702,1531939,Ray Forman,Ray Forman,Hairstylist,HAIRSTYLIST,false,Not set/not specified,0.6,Costume & Make-Up,Costume & Make-Up
702,1531940,Donald P. Desmond,Donald P. Desmond,ConstructionCoordinator,CONSTRUCTIONCOORDINATOR,false,Not set/not specified,1.38,Art,Art
702,1531941,Francis E. Stahl,Francis E. Stahl,BoomOperator,BOOMOPERATOR,false,Not set/not specified,0.6,Sound,Sound
702,1531943,Maurice De Packh,Maurice De Packh,Orchestrator,ORCHESTRATOR,false,Male,0.6,Sound,Sound
702,1570441,John Prettyman,John Prettyman,AssistantDirector,ASSISTANTDIRECTOR,false,Not set/not specified,0.6,Directing,Directing
703,1046,Juliet Taylor,Juliet Taylor,Casting,CASTING,false,Female,3.363,Production,Production
703,1051,Ruth Morley,Ruth Morley,CostumeDesign,COSTUMEDESIGN,false,Female,1.4,Costume & Make-Up,Costume & Make-Up
703,1243,Woody Allen,Woody Allen,Director,DIRECTOR,false,Male,10.765,Directing,Directing
703,1243,Woody Allen,Woody Allen,Writer,WRITER,false,Male,10.765,Writing,Directing
703,3097,Gordon Willis,Gordon Willis,DirectorofPhotography,DIRECTOROFPHOTOGRAPHY,false,Male,5.286,Camera,Camera
703,3104,Chris Newman,Chris Newman,ProductionSoundMixer,PRODUCTIONSOUNDMIXER,false,Male,0.6,Sound,Sound
703,3658,Robert Greenhut,Robert Greenhut,ExecutiveProducer,EXECUTIVEPRODUCER,false,Male,3.078,Production,Production
703,3658,Robert Greenhut,Robert Greenhut,ProductionManager,PRODUCTIONMANAGER,false,Male,3.078,Production,Production
703,3659,Fred Schuler,Fred Schuler,CameraOperator,CAMERAOPERATOR,false,Male,1.261,Camera,Camera
703,6490,Donald E. Thorin,Donald E. Thorin,CameraOperator,CAMERAOPERATOR,false,Male,3.393,Camera,Camera
703,6848,Ralph Rosenblum,Ralph Rosenblum,Editor,EDITOR,false,Male,0.6,Editing,Editing
703,6993,Charles H. Joffe,Charles H. Joffe,Producer,PRODUCER,false,Male,1.361,Production,Production
