movieid,genreid,genrename
701,35,Comedy
701,10749,Romance
702,18,Drama
703,35,Comedy
703,18,Drama
703,10749,Romance
704,10402,Music
704,35,Comedy
705,18,Drama
706,36,History
706,18,Drama
707,12,Adventure
707,28,Action
707,53,Thriller
708,28,Action
708,12,Adventure
708,53,Thriller
709,12,Adventure
709,28,Action
709,53,Thriller
710,12,Adventure
710,28,Action
710,53,Thriller
711,18,Drama
712,35,Comedy
712,18,Drama
712,10749,Romance
713,18,Drama
713,10749,Romance
714,12,Adventure
714,28,Action
714,53,Thriller
742,18,Drama
742,35,Comedy
742,10749,Romance
743,35,Comedy
744,28,Action
744,18,Drama
745,9648,Mystery
745,53,Thriller
745,18,Drama
746,18,Drama
746,36,History
747,27,Horror
747,35,Comedy
750,35,Comedy
750,80,Crime
750,18,Drama
750,9648,Mystery
751,35,Comedy
751,80,Crime
751,18,Drama
751,9648,Mystery
751,53,Thriller
752,28,Action
752,53,Thriller
752,14,Fantasy
753,18,Drama
754,28,Action
754,80,Crime
754,878,Science Fiction
754,53,Thriller
755,27,Horror
755,28,Action
755,53,Thriller
755,80,Crime
756,16,Animation
756,10751,Family
757,35,Comedy
757,80,Crime
757,18,Drama
757,9648,Mystery
757,53,Thriller
758,18,Drama
758,53,Thriller
758,80,Crime
758,9648,Mystery
758,35,Comedy
759,10402,Music
759,35,Comedy
759,10749,Romance
760,35,Comedy
761,35,Comedy
762,12,Adventure
762,35,Comedy
762,14,Fantasy
763,27,Horror
763,35,Comedy
764,27,Horror
765,27,Horror
765,35,Comedy
765,14,Fantasy
766,14,Fantasy
766,27,Horror
766,35,Comedy
767,12,Adventure
767,14,Fantasy
768,27,Horror
768,9648,Mystery
768,53,Thriller
769,18,Drama
769,80,Crime
770,18,Drama
770,10752,War
770,10749,Romance
771,35,Comedy
771,10751,Family
772,35,Comedy
772,10751,Family
772,12,Adventure
773,35,Comedy
773,18,Drama
774,99,Documentary
775,12,Adventure
775,878,Science Fiction
776,18,Drama
776,35,Comedy
776,10749,Romance
777,18,Drama
777,36,History
777,10752,War
778,35,Comedy
779,27,Horror
779,14,Fantasy
780,18,Drama
780,36,History
781,18,Drama
781,53,Thriller
781,10749,Romance
782,53,Thriller
782,878,Science Fiction
782,9648,Mystery
782,10749,Romance
783,18,Drama
783,36,History
784,10402,Music
784,18,Drama
784,35,Comedy
785,18,Drama
786,18,Drama
786,10402,Music
787,28,Action
787,35,Comedy
787,18,Drama
787,53,Thriller
788,35,Comedy
788,18,Drama
788,10751,Family
789,35,Comedy
789,18,Drama
789,10752,War
790,27,Horror
791,27,Horror
791,53,Thriller
792,18,Drama
792,10752,War
792,28,Action
793,18,Drama
793,80,Crime
793,9648,Mystery
793,53,Thriller
794,27,Horror
794,53,Thriller
795,10749,Romance
795,18,Drama
795,14,Fantasy
796,18,Drama
796,10749,Romance
797,18,Drama
798,10751,Family
798,18,Drama
798,35,Comedy
799,10751,Family
799,35,Comedy
799,18,Drama
800,80,Crime
800,18,Drama
